# ID        SDSS.g   SDSS.g_err   SDSS.r   SDSS.r_err   SDSS.i   SDSS.i_err   SDSS.z   SDSS.z_err   redshift  
  1902102   21.233   0.1          20.613   0.1          20.195   0.1          19.995   0.1          0.1       
  1903102   21.233   0.1          20.613   0.1          20.195   0.1          19.995   0.1          0.1       
  1904102   21.233   0.1          20.613   0.1          20.195   0.1          19.995   0.1          0.1       
  1901103   24.112   0.1          23.233   0.1          22.824   0.1          22.458   0.1          0.3       
  1902103   24.095   0.1          23.232   0.1          22.824   0.1          22.456   0.1          0.3       
  1903103   24.096   0.1          23.233   0.1          22.824   0.1          22.456   0.1          0.3       
  1904103   24.096   0.1          23.233   0.1          22.824   0.1          22.456   0.1          0.3       
  1901104   25.486   0.1          24.6     0.1          24.14    0.1          23.745   0.1          0.5       
  1902104   25.443   0.1          24.602   0.1          24.144   0.1          23.737   0.1          0.5       
  1903104   25.439   0.1          24.605   0.1          24.143   0.1          23.738   0.1          0.5       
  1904104   25.439   0.1          24.605   0.1          24.144   0.1          23.738   0.1          0.5       
  1901105   26.634   0.1          26.116   0.1          25.384   0.1          24.993   0.1          0.8       
  1902105   26.51    0.1          26.104   0.1          25.394   0.1          24.994   0.1          0.8       
  1903105   26.504   0.1          26.121   0.1          25.393   0.1          24.995   0.1          0.8       
  1904105   26.503   0.1          26.121   0.1          25.394   0.1          24.995   0.1          0.8       
  1901106   27.107   0.1          26.654   0.1          26.189   0.1          25.561   0.1          1.0       
  1902106   26.924   0.1          26.649   0.1          26.211   0.1          25.556   0.1          1.0       
  1903106   26.913   0.1          26.673   0.1          26.209   0.1          25.558   0.1          1.0       
  1904106   26.912   0.1          26.674   0.1          26.21    0.1          25.558   0.1          1.0       
  1901107   27.743   0.1          27.573   0.1          27.341   0.1          27.011   0.1          1.5       
  1902107   27.588   0.1          27.451   0.1          27.328   0.1          26.979   0.1          1.5       
  1903107   27.59    0.1          27.51    0.1          27.324   0.1          26.979   0.1          1.5       
  1904107   27.587   0.1          27.513   0.1          27.327   0.1          26.978   0.1          1.5       
  1901108   28.419   0.1          27.987   0.1          27.929   0.1          27.755   0.1          2.0       
  1902108   28.044   0.1          27.844   0.1          27.885   0.1          27.691   0.1          2.0       
  1903108   28.031   0.1          27.916   0.1          27.882   0.1          27.708   0.1          2.0       
  1904108   28.028   0.1          27.919   0.1          27.887   0.1          27.709   0.1          2.0       
  2000000   15.145   0.1          15.329   0.1          15.285   0.1          15.072   0.1          0.007148  
  2001101   19.737   0.1          19.93    0.1          19.914   0.1          19.766   0.1          0.06      
  2002101   19.737   0.1          19.93    0.1          19.913   0.1          19.766   0.1          0.06      
  2003101   19.737   0.1          19.93    0.1          19.913   0.1          19.766   0.1          0.06      
  2004101   19.737   0.1          19.93    0.1          19.913   0.1          19.766   0.1          0.06      
  2001102   20.827   0.1          20.999   0.1          21.021   0.1          20.891   0.1          0.1       
  2002102   20.827   0.1          20.999   0.1          21.02    0.1          20.891   0.1          0.1       
  2003102   20.827   0.1          20.999   0.1          21.02    0.1          20.891   0.1          0.1       
  2004102   20.827   0.1          20.999   0.1          21.02    0.1          20.891   0.1          0.1       
  2001103   23.14    0.1          23.136   0.1          23.297   0.1          23.287   0.1          0.3       
  2002103   23.137   0.1          23.135   0.1          23.296   0.1          23.286   0.1          0.3       
  2003103   23.138   0.1          23.135   0.1          23.295   0.1          23.287   0.1          0.3       
  2004103   23.138   0.1          23.135   0.1          23.295   0.1          23.287   0.1          0.3       
  2001104   24.077   0.1          24.087   0.1          24.173   0.1          24.302   0.1          0.5       
  2002104   24.071   0.1          24.079   0.1          24.168   0.1          24.3     0.1          0.5       
  2003104   24.072   0.1          24.079   0.1          24.168   0.1          24.302   0.1          0.5       
  2004104   24.072   0.1          24.079   0.1          24.169   0.1          24.302   0.1          0.5       
  2001105   24.722   0.1          25.017   0.1          24.926   0.1          25.005   0.1          0.8       
  2002105   24.725   0.1          25.009   0.1          24.912   0.1          25.003   0.1          0.8       
  2003105   24.726   0.1          25.008   0.1          24.91    0.1          25.008   0.1          0.8       
  2004105   24.726   0.1          25.008   0.1          24.91    0.1          25.008   0.1          0.8       
  2001106   24.982   0.1          25.311   0.1          25.372   0.1          25.308   0.1          1.0       
  2002106   24.976   0.1          25.286   0.1          25.36    0.1          25.3     0.1          1.0       
  2003106   24.977   0.1          25.286   0.1          25.359   0.1          25.303   0.1          1.0       
  2004106   24.977   0.1          25.286   0.1          25.359   0.1          25.303   0.1          1.0       
  2001107   25.393   0.1          25.683   0.1          25.885   0.1          25.992   0.1          1.5       
